video_id,comment_text,like_count,published_at,author,fetched_at
2ohfbahLU1k,Team ggg,0,2026-04-13T07:43:38Z,@shanealam3345,2026-04-13T13:58:15.541207
2ohfbahLU1k,Bhai kya doorbin ki death Ho gyi hai Kya,0,2026-04-13T07:35:41Z,@zainmansuri17,2026-04-13T13:58:15.541209
2ohfbahLU1k,Tu face reveal kab Karega  lagta to nahin Hai tu khada Hai face reveal tu khada Hai,0,2026-04-13T07:33:43Z,@rinkiskitchen3784,2026-04-13T13:58:15.541211
2ohfbahLU1k,Carry bhai app ye mod kaha se late ho,0,2026-04-13T07:29:17Z,@InayaFahad-d2x,2026-04-13T13:58:15.541213
2ohfbahLU1k,Ma ap Ka fan hu🎉❤,1,2026-04-13T07:04:18Z,@AnmolBaraili-r5u,2026-04-13T13:58:15.541215
2ohfbahLU1k,Hello carry and durbin,0,2026-04-13T07:04:03Z,@AnmolBaraili-r5u,2026-04-13T13:58:15.541217
2ohfbahLU1k,Bohot acchi video hai❤❤,0,2026-04-13T07:01:16Z,@Aryandad143,2026-04-13T13:58:15.541220
2ohfbahLU1k,1 din ma 2video dalo,0,2026-04-13T06:57:13Z,@indian-tiger.,2026-04-13T13:58:15.541222
2ohfbahLU1k,Carry friend wow🎉🎉🎉❤❤❤,1,2026-04-13T06:45:19Z,@hiteshdeka988,2026-04-13T13:58:15.541224
2ohfbahLU1k,Ye too magical  hai Carry   Depai,0,2026-04-13T06:40:22Z,@ChetanChoudhari-jm7ch,2026-04-13T13:58:15.541226
2ohfbahLU1k,Karaoke Bhai gamer,0,2026-04-13T06:37:52Z,@ChetanChoudhari-jm7ch,2026-04-13T13:58:15.541227
2ohfbahLU1k,Bhai tu to chhod De kam yah gana😢😢😢😢😢😂😂😂😂,0,2026-04-13T06:37:45Z,@amrinmansuri994,2026-04-13T13:58:15.541230
2ohfbahLU1k,❤❤❤❤❤❤❤😂😂😂😂,0,2026-04-13T06:20:49Z,@nbmahato,2026-04-13T13:58:15.541240
2ohfbahLU1k,Bhoot wala❤❤❤❤❤❤❤😊😊😊😊😊😊,0,2026-04-13T06:18:44Z,@rojali3846,2026-04-13T13:58:15.541245
2ohfbahLU1k,❤❤❤❤😢😢😢😢😊😊😊😊 1:37,0,2026-04-13T06:11:58Z,@BaikoBaiga,2026-04-13T13:58:15.541248
mgckLRwWRHE,Jio rausan bhaiya 🫡🫡,0,2026-04-13T13:56:18Z,@VickyKumar-v1d4j,2026-04-13T13:58:15.761755
mgckLRwWRHE,Kahan per rahti hai,0,2026-04-13T13:47:47Z,@Funny_video2025-2,2026-04-13T13:58:15.761779
mgckLRwWRHE,ahir kundan lal yadav ji barand ❤❤❤,0,2026-04-13T13:42:59Z,@ChandanRayR987,2026-04-13T13:58:15.761783
mgckLRwWRHE,❤❤❤😊😊😊😊,0,2026-04-13T13:42:57Z,@sumankumarbhumiher1093,2026-04-13T13:58:15.761787
mgckLRwWRHE,Jio❤❤❤❤❤,0,2026-04-13T13:39:25Z,@RakeshKumar-l2b5d,2026-04-13T13:58:15.761790
mgckLRwWRHE,Bahut good song roshan rohi bha9,0,2026-04-13T13:33:17Z,@ChandanKumar-o5x8x,2026-04-13T13:58:15.761793
mgckLRwWRHE,Nice lyrics 😅,0,2026-04-13T13:31:28Z,@munnachaudhary18,2026-04-13T13:58:15.761796
mgckLRwWRHE,❤❤,0,2026-04-13T13:30:54Z,@PradeepManjhi-b6r,2026-04-13T13:58:15.761799
mgckLRwWRHE,😮😮😮😮,0,2026-04-13T13:17:37Z,@ADITYAGMING009,2026-04-13T13:58:15.761802
mgckLRwWRHE,😮😮😊😊,1,2026-04-13T12:57:44Z,@Deepakkumar-h1t2r,2026-04-13T13:58:15.761805
mgckLRwWRHE,Roushan rohit ke fans❤ like karo,0,2026-04-13T12:56:34Z,@Rohit_gupta-u5k,2026-04-13T13:58:15.761808
mgckLRwWRHE,जब भी आपका song आता है बिना सुने नही रह पाते है किंग 👑 bhayiya हमारा,0,2026-04-13T12:56:02Z,@SandipSajanEntertainment,2026-04-13T13:58:15.761811
mgckLRwWRHE,❤❤❤❤❤,0,2026-04-13T12:52:51Z,@Angelmovestudio,2026-04-13T13:58:15.761814
mgckLRwWRHE,❤❤,0,2026-04-13T12:51:59Z,@SubhashKumarBlock-x4w,2026-04-13T13:58:15.761817
mgckLRwWRHE,Jio Mera bhai❤❤❤❤❤❤❤,0,2026-04-13T12:48:04Z,@santoshkumar-bz6xh,2026-04-13T13:58:15.761820
mgckLRwWRHE,❤❤❤,0,2026-04-13T12:44:52Z,@ankushrajofficial9347,2026-04-13T13:58:15.761823
mgckLRwWRHE,❤❤❤,0,2026-04-13T12:43:10Z,@Rahulblock12y,2026-04-13T13:58:15.761826
mgckLRwWRHE,❤❤❤❤❤❤❤❤❤,1,2026-04-13T12:25:34Z,@MohanKumar-f4w6z,2026-04-13T13:58:15.761829
